source_id,x,y,z,phot_g_mean_mag,bp_rp
5890399349839487744,-8598.996111945426,-11168.93599625922,-16478.096319603497,17.841984,1.3151627
5890399349839491200,-2834.7594699240553,-3682.4407637302543,-5432.004948274934,18.6759,1.2836456
5890399349839495936,-22654.75877732081,-29432.88330153642,-43408.827863658305,19.00886,1.500721
5890399349839496192,1564.0882223955227,2031.615959580271,2996.535588653178,19.361383,1.3685322
5890399349841739136,-1163.216888573833,-1510.8177982836341,-2228.42091965538,17.857153,1.3243961
5890399349841740416,-1536.9235245780815,-1995.4500032915398,-2943.542640318801,18.165813,1.3341408
5890399349841741184,-1272.6141384525363,-1652.5363178018501,-2437.5198789823817,18.242556,1.5126514
5890399349842622336,27632.206204805392,35878.878175490354,52925.89252585518,18.544245,1.5705891
5890399349851400192,-2480.4847925418617,-3221.3958910373717,-4750.602509577232,18.504694,1.3460884
5890399349855120896,-2805.179033530896,-3643.2630040410704,-5375.162098055717,19.896444,1.5148735
5890399354166133888,828.4268169633016,1076.078812316832,1587.4938353890154,19.931664,1.3989029
5890654165970788736,-571.7277115713123,-715.2113466626604,-1047.1678897980864,18.733065,1.750412
5890654165970797952,-356.9568727547408,-446.3373015914361,-653.5004310215649,18.938782,1.6821957
5890654165970801408,-788.2080159660633,-985.7662006960892,-1443.1468789592866,19.847883,1.8049297
1945663134761336576,1824.8114080205614,-1216.5595426015273,1308.5522808435614,17.3754,1.0049572
1945663139059184000,290.30328496393327,-193.54273226331225,208.22470888066135,11.788192,0.8655739
1945663169121076992,1372.9434258746535,-915.1226139790964,984.6629655376407,18.560118,1.1914654
1945663169121078656,1633.804074615981,-1089.3194200369664,1172.0163307643945,19.853123,1.2391567
1945663203480819968,436.35375916754464,-290.66477139770626,313.00314361020895,18.636944,2.39221
1945663207776506496,5315.805048158922,-3539.5571512556553,3811.3055324076117,19.94425,2.114622
1945663207778649344,56.976153505202284,-37.93801131557311,40.84709080542514,13.817408,2.4218102
1945663237840558720,1574.6633975114548,-1048.107927991913,1129.2809465190198,17.933603,1.1632557
5890463190232278912,-1630.0850646861327,-2030.0007524397479,-3104.5929787541513,18.011404,1.8680363
5890463190232284160,-1092.8487464756665,-1360.6583804990757,-2080.6567501002573,18.114662,1.9460773
5890463190233699072,-236.3484402791035,-294.37726433420147,-450.23867958624027,19.650976,2.511303
5890463194531145984,-1022.8294495156807,-1273.4298097063509,-1948.154237326296,19.960653,2.0944633
5890463194531146240,1115.7347601810766,1389.4452784876034,2125.2615771286723,19.280996,1.8587646
5890463194531149056,-546.5011891012222,-680.5160454492145,-1040.9276299557441,19.20178,1.9204063
5890463194531149184,-1610.0784916701566,-2004.633607464299,-3066.595683077885,18.592262,2.0695572
5890463194531149824,2602.570875013794,3241.2401702246902,4957.289103387825,19.18547,1.9802151
5890463194531150336,-888.7179689126586,-1106.7348998343239,-1692.7495125696676,19.491789,2.014307
5890463194531152256,-1369.258938070945,-1704.9095527882125,-2607.79414770207,19.679274,1.9459476
5890603519730547456,-871.8386371707228,-1118.8022439606468,-1644.3639003349717,16.76504,1.4414816
5890603519730548992,-835.70004276103,-1072.2743481557193,-1575.8988501784938,16.731411,1.5648565
5890603519730550016,-4142.438318598523,-5315.906756727843,-7811.382153884312,15.302287,1.8547325
5890603519730552832,-3043.242114698989,-3904.4673247715577,-5737.450646270486,15.059601,3.2363234
5890603519730553216,-654.8872835940533,-840.3494601274954,-1234.703345675758,19.283,1.8241882
5890603519730553344,-2765.6415215344914,-3548.4663605210117,-5214.037754717264,17.694456,
5890603519736097280,-22132.790092643187,-28406.50867554079,-41742.83636491583,19.966816,1.4778576
5890603519736098176,-1598.151209353475,-2049.962373834969,-3013.3835594928237,18.803785,1.5271873
5890603519736099456,-2367.1272963208885,-3036.4878649349725,-4462.692212893,15.870281,2.0091124
5890603519736100096,2871.092692113098,3683.0151723898084,5412.459753239388,19.82816,2.4941444
5890654165987176320,-13833.689934739035,-17299.669338489144,-25342.847034340866,18.819872,1.5593338
5890654165987177472,-678.0447728350416,-847.8792883689954,-1242.0586362782187,16.086843,1.328948
5890654165987178368,-1094.7542384186283,-1369.0662633200716,-2005.3901052805072,11.008256,4.135461
5890654165987179136,-3914.448220211017,-4894.594198959706,-7169.9733994392545,19.033049,1.599884
5890654165987181952,-1033.405065030397,-1292.1780756729795,-1892.636445617126,16.321083,1.3696146
5890654165987184896,-724.6846531394996,-906.084430007208,-1327.0243626841384,15.772836,1.1831713
5890654165987187712,-334.77155543763,-418.55209441518394,-612.9172549348214,19.038303,
5890654165987188992,-389.008244005642,-486.41601528374446,-712.201281006866,15.76024,1.2435322
5890654165987275008,652.8371415732512,816.6685785947552,1196.0693701842831,19.638105,1.2064457
5890654165987276160,-2566.1090552754476,-3209.787102863797,-4700.696951744915,19.707878,1.6515579
5890654165987277952,-1227.8618183751232,-1535.56213030776,-2248.5769595497113,17.810463,1.3360023
5890654165987278208,-2462.668346182826,-3080.4740519552697,-4510.44688383725,18.388006,1.6483288
5890654165987278464,-973.6775895783247,-1217.819148526046,-1783.1870853821185,17.605356,1.3415012
5890654165987278720,-292.7194106757055,-366.1798017864271,-536.1337614255501,19.082321,
5890531673520580864,-1160.822913747166,-1398.6506464335075,-2120.428176542114,19.755148,1.7670574
5890531703548429184,-1858.9315186829747,-2241.635940075642,-3397.318838938028,19.015295,1.8515568
5890531703548787328,-872.4397340051147,-1051.8848529045788,-1594.3202987056006,17.05658,1.4578257
5890531703551395840,-830.7295897448723,-1001.6667773507855,-1518.478601642404,17.64122,1.6750336
